,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_explained_variance,split1_test_explained_variance,split2_test_explained_variance,split3_test_explained_variance,split4_test_explained_variance,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0,28.829579019546507,14.045912144865376,0.04971766471862793,0.0029567207451787546,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.028400502516863498,-0.01610801273402386,-0.017628757717969835,-0.013416684429624327,-0.010626867109862163,-0.017236164901668738,0.0060719113826855796,23,-0.09216377032571788,-0.016789568716303993,-0.08359138106471709,-0.03758474256190403,-0.006083726657705846,-0.04724263786526976,0.0347961480850484,21,-2.520120143890381,-1.3121833739577344,-1.2651683931580648,-0.9305898527444872,-1.1769949843427532,-1.4410113496186838,0.5553787767153214,3,-0.10857730167821504,-0.09666480585674943,-0.09735176537324552,-0.09106230795187399,-0.0822907453889929,-0.09518938524981538,0.008596472966766853,26,-0.09392571077126655,-0.016961636040379036,-0.08369379978585867,-0.037827656575511126,-0.006598465345714288,-0.04780145370374593,0.035111151589219826,21
1,57.58177433013916,28.97975530585375,0.08578243255615234,0.005391472438163392,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.027511393471965507,-0.01591993943821911,-0.01771016383963045,-0.013461241627820173,-0.010623681034658584,-0.017045283882458767,0.00575030881663072,20,-0.058991107072906335,-0.004994673536791172,-0.08841655357582145,-0.04093137538725844,-0.005750305099188058,-0.03981680293439309,0.03194976977662678,19,-2.6160114329174506,-1.2915903762272383,-1.120005770101578,-0.9506782134495076,-1.1752603382275506,-1.430709226184665,0.602746368030058,1,-0.10717484491402926,-0.09646047373616862,-0.09744165248813824,-0.09100460969635994,-0.08235155280191223,-0.09488662672732165,0.008151117614094164,21,-0.059679160263377495,-0.005087835730231971,-0.08869808373595789,-0.04127431232937684,-0.006296673822658416,-0.04020721317632052,0.031984231436919676,19
2,140.63514165878297,73.32357300282193,0.18758692741394042,0.0070241551039946885,10,1,500,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 500}",-0.027204460052883912,-0.016178656635619626,-0.017594916509943763,-0.013474557900669433,-0.010640823914833111,-0.017018683002789966,0.005621844052476793,19,-0.04750896963932827,-0.021286598549229874,-0.08141386753816615,-0.04204913969627677,-0.007360996111683837,-0.03992391430693698,0.025263250173023034,20,-2.6676659071837627,-1.297021317304256,-1.1601876168990144,-0.9452117864742638,-1.1864704670663901,-1.4513114189855374,0.6187655957500524,7,-0.10663723974892649,-0.09664983613751153,-0.09736119101398351,-0.09104197993640153,-0.08236020420218251,-0.09481009020780111,0.007987146715162523,20,-0.047856751190547664,-0.021421660931677966,-0.08161347694622201,-0.04230437279759158,-0.00792048229761999,-0.04022334883273184,0.025190160189501147,20
3,27.620437812805175,14.235775087225049,0.05367012023925781,0.005062819344368032,10,10,100,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}",-0.026373667684974397,-0.0157342071682872,-0.01725693654930703,-0.01299032283850686,-0.010575503223380375,-0.01658612749289117,0.005404241135682446,13,-0.015852905713858112,0.006706698177492809,-0.0606421631954539,-0.004610994270468627,-0.0014722812083409753,-0.01517432924212576,0.023857468086186714,12,-2.7605017541414614,-1.1951531412981882,-1.2108599911415685,-0.8835627098158372,-1.1759319623334996,-1.445201911746111,0.6686402766154492,6,-0.10466230128964675,-0.09621547730585862,-0.09663006791731195,-0.09033064605807509,-0.08223108500844338,-0.09401391551586716,0.007449574698670357,16,-0.015856432497977968,0.0066381664907920745,-0.06083681226833937,-0.004847090230355011,-0.0017331735553636207,-0.01532706841224878,0.023868441409530778,12
4,55.030255460739134,28.337135329560407,0.08612647056579589,0.0014399956115688543,10,10,200,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}",-0.02621946497465645,-0.015631350420280396,-0.017297157991092625,-0.013007270257547197,-0.010569915983037583,-0.01654503192532285,0.005351876875998541,10,-0.009915811202273472,0.01319814242038142,-0.06310833915347902,-0.005936151394029254,-0.0008459298398095783,-0.01332161783384198,0.026091388341636282,10,-2.759930961259119,-1.1711484888424395,-1.2209965244557672,-0.9319813276874513,-1.1835676844443614,-1.4535249973378277,0.6611183367532729,10,-0.10444262173650769,-0.09609176435778234,-0.0968004330287289,-0.09027423185218171,-0.08221094502549568,-0.09396399920013927,0.007404362730227314,14,-0.009916878809191898,0.013131913947910245,-0.06330934764370855,-0.006158032608100772,-0.001203938786882297,-0.013491256779994654,0.026108105771999995,10
5,136.02499656677247,69.83035406860199,0.18264303207397461,0.007374234887850089,10,10,500,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 500}",-0.02623930565324829,-0.01572056352165899,-0.01728611034961116,-0.012987230576416993,-0.010591502577628297,-0.016564942535712744,0.005353659840924473,11,-0.010678793229193628,0.007579972088221365,-0.06242300686986413,-0.004435166442243954,-0.0029228092442172837,-0.014575960739459526,0.024633492428895874,11,-2.758907532791797,-1.1975462397596937,-1.2488318484802898,-0.9259089906001071,-1.202877669000766,-1.4668144561265308,0.6560133624527134,22,-0.1046127677455484,-0.09616778201410062,-0.09665870499672916,-0.0902170620247684,-0.08226962973340404,-0.09398518930291011,0.00743384072836363,15,-0.010681098682339574,0.00749954308799794,-0.06263021524157031,-0.004607892898474963,-0.0032486649288780978,-0.014733665732653,0.024654633836146144,11
6,24.00429973602295,13.550553361875796,0.05233545303344726,0.004575693106298903,10,50,100,"{'max_depth': 10, 'min_samples_leaf': 50, 'n_estimators': 100}",-0.02608268803408891,-0.015892295080173997,-0.01648289623946103,-0.012971444472323538,-0.010636533461262337,-0.01641317145746196,0.005272395200488522,1,-0.004618793834904711,-0.0032877472272179187,-0.01266258403008691,-0.003324960624716322,-0.007191329068762853,-0.006217082957137743,0.003521180117231425,3,-2.7901174842177423,-1.2878239905230389,-1.0687980312011138,-0.9393300294537055,-1.2214520429257638,-1.4615043156642726,0.6752610031207419,19,-0.10457004768190632,-0.095947300155617,-0.09604177253762715,-0.09019363604975468,-0.0823593688972589,-0.09382242506443281,0.00734195826319341,6,-0.004648527946786496,-0.003342539643802711,-0.013254180639714619,-0.003386782310109915,-0.00751408180956159,-0.006429222469995066,0.003733949645778427,3
7,46.98118648529053,25.691592748713717,0.0869023323059082,0.005239136100974285,10,50,200,"{'max_depth': 10, 'min_samples_leaf': 50, 'n_estimators': 200}",-0.0261242433506287,-0.01590350132358197,-0.016506766939366473,-0.012956877804570248,-0.010606765203228239,-0.016419630924275126,0.005295914498073429,4,-0.006227758343845258,-0.003969619783774192,-0.014075385138845764,-0.002165930082447698,-0.004352597055540031,-0.006158258080890588,0.004163531273320337,2,-2.7986115999793326,-1.280375732610445,-1.0593918137911085,-0.9446988098288086,-1.1990504469331407,-1.4564256806285671,0.6809109954957162,12,-0.10461307856044136,-0.09610915408416118,-0.09602379739491235,-0.09018852594478065,-0.08228174673946818,-0.09384326054475275,0.007387877652531971,8,-0.006249148539859695,-0.004050033474247039,-0.014721585768194156,-0.00225999940500321,-0.00469437186651267,-0.006395027810763354,0.004355285000446829,2
8,114.9454517364502,64.56134020369072,0.19858145713806152,0.028995440914937037,10,50,500,"{'max_depth': 10, 'min_samples_leaf': 50, 'n_estimators': 500}",-0.02612201712796112,-0.01590586458659379,-0.016480580143215413,-0.01294374135177908,-0.01061580570089675,-0.01641360178208923,0.005294714014815769,2,-0.006094578092631364,-0.0041173253809887456,-0.012619426287884705,-0.0011398619267868337,-0.005207272430830079,-0.0058356928238243455,0.003781126497918793,1,-2.8044102216687974,-1.2807515858486636,-1.0553600215932715,-0.9395535596398703,-1.2048407866533974,-1.4569832350808,0.683992334359766,13,-0.1044972691343511,-0.09613081442627366,-0.09595773149469197,-0.09013849008795102,-0.0822678899026805,-0.09379843900918967,0.007360927577077792,4,-0.0061633992749470234,-0.004199235480638386,-0.01311180310062543,-0.0012438486497636791,-0.005550706192048782,-0.00605379853960466,0.003915496512505418,1
9,64.05190019607544,33.92565572530568,0.06528739929199219,0.008815940064325891,25,1,100,"{'max_depth': 25, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.028163720694138628,-0.016271579669423906,-0.018202966265031265,-0.013795932898746243,-0.010668578524744886,-0.017420555610416985,0.005934222653876937,27,-0.08351540664635104,-0.027097698215646115,-0.11884030407225987,-0.06674069311367536,-0.010028150440826167,-0.061244450497751714,0.039070696442675884,27,-2.5610744953155518,-1.286950680653784,-1.410222053527832,-0.9376971569745365,-1.1641601621831363,-1.472020909730968,0.566460574662308,25,-0.10844694949804357,-0.09662243462716419,-0.0978966994808419,-0.09151595959225745,-0.0824545919741334,-0.0953873270344881,0.008492576779101845,27,-0.08480538891892553,-0.027288254287656244,-0.11899216012353664,-0.06716385748514742,-0.010549455395207241,-0.061759823242094614,0.03910660534889266,27
